Name,Description,Comments
A02.profile.PetroVR,PetroVR user access to PSE for Headless Calculation. ,Usually combined with another profile
A03.profile.CAPDAT,Profile for CAPDAT interface users.,"Expected user base ultimately project services and project managers.  However, this will be phased in."
A04.profile.Light,Readonly access DF only (light user),"PRMS (all DF tabs excl Calc & Admin); ADJUST (Overview, Eco_Results, Fin Input, QA/QC only)"
A05.profile.Light.reserves,Reserves readonly role,
A06.profile.Light.Fin.Port,Finance and Portfolio Finance light users (readonly access) DF plus PSE/F/P,MODIFICATION and EXTENSION of Portfolio Light to Finance light users
A07.profile.Projectmanager.PET,Read only Project Manager with Input.Confirm tag rights,NEW. First tier for project managers using Dataflow.  Tagging.  Requested for Petrom Project Managers
A08.profile.Projectmanager.Classic,"P2V Classic Projectmanager role (data entry & ""full input"" tagging)",
A09.profile.Projectmanager.LCB,LCB Project Manager,NEW
A10.profile.Planning.Classic,Planner (includes DF Unlock),Previously PP.Local
A11.profile.Planning.Plus,Enchanced Dataflow: (includes DF Power role; DF Tab FULL access),
A12.profile.Auditor,Access Audit Logs,
A13.profile.Economics.Classic,Base Economist (includes DF Unlock and Quicklook Admin),Roles included PSE Key; DF BasePlus; PSF Base; PSP Base.  
A14.profile.Economics.Regimes,Economics Regime Coding,NEW.  This profile is applied to designated regime coders.  These can be located in HO or Venture.
A15.profile.Economics.Plus,Base Economist enhanced with PSE Power and PSE Unlock roles,Designed for Economics Governance Team
A16.profile.Finance.Classic,Base Controller,Roles included PSF Key; DF BasePlus.  
A17.profile.Finance.Regimes,Financial Regime Coding,This profile is applied to designated regime coders.  These can be located in HO or Venture.
A18.profile.Finance.Plus,Base Controller enhanced with PSF Power and PSF Unlock roles,Designed for Head Office Controlling
A19.profile.Portfolio.Classic,OMV Portfolio role (standard user),
A20.profile.Reserves.local.QRE,Branch office QRE role,17.05.22 Updated for Lukas' Changes
A21.profile.Reserves.Headoffice,OMV Corporate reserves role (standard user),
A22.profile.Reserves.Headoffice.Power,OMV Corporate reserves role (power user),
A23.profile.Reserves.Headoffice.Approve,special approval role for Headoffice RESERVES ,17.05.22 Updated with changes advised by Lukas
A24.profile.Exploration.Assurance,OMV Corporate Exploration Assurance user.  Previously profile.Resources.Headoffice,
A25.profile.Exploration.OA.Admin,Opportunity Assessor Data Loader,"This profile has extended Dataflow rights eg project creator, project deletor, Dataflow base.plus for scenario creation"
A26.profile.Portfolio.Plus,PLACEHOLDER Portfolio Classic plus a Superuser increment.,Placeholder profile.  The Portfolio group will receive classic as standard (essentially an economists base profile).  This placeholder is to be used if a superuser requires Portfolio require additional dataflow or financials rights since Admin rights will be removed.
A27.profile.Reserves.local.Approve,Reserves local country approval role  ,extra profile for QREs
Administrators,Default Admin workgroup.,This group consists all the permissions on the engine.
Auditor,Role: user can check auditlogs,permission to read and check audit-logs
BD.base,General workgroup that has access to the BD hierarchy,
data.ArabEmirates,Data access to country UnitedArabEmirates,[DATA] PRMS read-update
data.ArabEmirates.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load into CAPDAT
data.ArabEmirates.Economics,Data access to country UnitedArabEmirates (economist),[DATA] PRMS create-read-update-delete 
data.ArabEmirates.Finance,Data access to country UnitedArabEmirates (financials),[DATA] PRMS create-read-update-delete 
data.ArabEmirates.Other,Data access to country UnitedArabEmirates (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.ArabEmirates.Planning,Data access to country UnitedArabEmirates (full access),[DATA] PRMS full access
data.ArabEmirates.Reserves,Data access to country UnitedArabEmirates (Reserves),[DATA] PRMS create-read-update-delete 
data.Australia,Data access to country Australia,[DATA] PRMS read-update
data.Australia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Australia.Economics,Data access to country Australia (economist),[DATA] PRMS create-read-update-delete 
data.Australia.Finance,Data access to country Australia (financials),[DATA] PRMS create-read-update-delete 
data.Australia.Other,Data access to country Australia (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.Australia.Planning,Data access to country Australia (full access),[DATA] PRMS full access
data.Australia.Reserves,Data access to country Australia (Reserves),[DATA] PRMS create-read-update-delete 
data.Austria,Data access to country Austria,[DATA] PRMS read-update
data.Austria.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Austria.Economics,Data access to country Austria (economist),[DATA] PRMS create-read-update-delete 
data.Austria.Finance,Data access to country Austria (financials),[DATA] PRMS create-read-update-delete 
data.Austria.Other,Data access to country Austria (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Caters for ""light"" functional users"
data.Austria.Planning,Data access to country Austria (full access),[DATA] PRMS full access
data.Austria.Reserves,Data access to country Austria (Reserves),[DATA] PRMS create-read-update-delete 
data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update
data.Bulgaria.CAPDAT,Data access to country Bulgaria (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.Bulgaria.Economics,Data access to country Bulgaria (economist),[DATA] PRMS create-read-update-delete 
data.Bulgaria.Finance,Data access to country Bulgaria (financials),[DATA] PRMS create-read-update-delete 
data.Bulgaria.Other,Data access to country Bulgaria (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.Bulgaria.Planning,Data access to country Bulgaria (full access),[DATA] PRMS full access
data.Bulgaria.Portfolio,Data access to country Bulgaria (Portfolio),
data.Bulgaria.Reserves,Data access to country Bulgaria (Reserves),[DATA] PRMS create-read-update-delete 
data.Corporate,Data access to ALL countries,[DATA] PRMS read-update
data.Corporate.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Corporate.Economics,Data access to ALL countries (economist),[DATA] PRMS create-read-update-delete 
data.Corporate.Finance,Data access to ALL countries (financials),[DATA] PRMS create-read-update-delete 
data.Corporate.Other,Data access to ALL countries for users that are not members of data.corporate.functions or light Economics/Finance users,"This is for anyone that is not a member of one of the other groups.  Data.Corporate less Data.Corporate.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.Corporate.Planning,Data access to ALL countries (full access),[DATA] PRMS full access
data.Corporate.Portfolio,Data access to ALL countries (Portfolio) - used by Portfolio to load marked resultsets,
data.Corporate.Reserves,Data access to ALL countries (Reserves) - used by Reserves to load marked resultsets,[DATA] PRMS create-read-update-delete 
data.Everyone.Economics,Combining all data.country.Economics and data.corporate.Economics,Combining all data.country/corporate.Economists
data.Everyone.Finance,Combining all data.country.Finance and data.corporate.Finance,
data.Georgia,Data access to country Georgia,[DATA] PRMS read-update
data.Georgia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Georgia.Economics,Data access to country Georgia (economist),[DATA] PRMS create-read-update-delete 
data.Georgia.Finance,Data access to country Georgia (financials),[DATA] PRMS create-read-update-delete 
data.Georgia.Other,Data access to country Georgia (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.Georgia.Planning,Data access to country Georgia (full access),[DATA] PRMS full access
data.Georgia.Portfolio,Data access to country Georgia (Portfolio),
data.Georgia.Reserves,Data access to country Georgia (Reserves),[DATA] PRMS create-read-update-delete 
data.Kurdistan,Data access to country Kurdistan,[DATA] PRMS read-update
data.Kurdistan.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Kurdistan.Economics,Data access to country Kurdistan (economist),[DATA] PRMS create-read-update-delete 
data.Kurdistan.Finance,Data access to country Kurdistan (financials),[DATA] PRMS create-read-update-delete 
data.Kurdistan.Other,Data access to country Kurdistan (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.Kurdistan.Planning,Data access to country Kurdistan (full access),[DATA] PRMS full access
data.Kurdistan.Reserves,Data access to country Kurdistan (Reserves),[DATA] PRMS create-read-update-delete 
data.Libya,Data access to country Libya,[DATA] PRMS read-update
data.Libya.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Libya.Economics,Data access to country Libya (economist),[DATA] PRMS create-read-update-delete 
data.Libya.Finance,Data access to country Libya (financials),[DATA] PRMS create-read-update-delete 
data.Libya.Other,Data access to country Libya (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.Libya.Planning,Data access to country Libya (full access),[DATA] PRMS full access
data.Libya.Reserves,Data access to country Libya (Reserves),[DATA] PRMS create-read-update-delete 
data.Malaysia,Data access to country Malaysia,[DATA] PRMS read-update
data.Malaysia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Malaysia.Economics,Data access to country Malaysia (economist),[DATA] PRMS create-read-update-delete 
data.Malaysia.Finance,Data access to country Malaysia (financials),[DATA] PRMS create-read-update-delete 
data.Malaysia.Other,Data access to country Malaysia (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.Malaysia.Planning,Data access to country Malaysia (full access),[DATA] PRMS full access
data.Malaysia.Reserves,Data access to country Malaysia (Reserves),[DATA] PRMS create-read-update-delete 
data.Mexico,Data access to country Mexico,[DATA] PRMS read-update
data.Mexico.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Mexico.Economics,Data access to country Mexico (economist),[DATA] PRMS create-read-update-delete 
data.Mexico.Finance,Data access to country Mexico (financials),[DATA] PRMS create-read-update-delete 
data.Mexico.Other,Data access to country Mexico (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.Mexico.Planning,Data access to country Mexico (full access),[DATA] PRMS full access
data.Mexico.Reserves,Data access to country Mexico (Reserves),[DATA] PRMS create-read-update-delete 
data.NewZealand,Data access to country NewZealand,[DATA] PRMS read-update
data.NewZealand.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.NewZealand.Economics,Data access to country NewZealand (economist),[DATA] PRMS create-read-update-delete 
data.NewZealand.Finance,Data access to country NewZealand (financials),[DATA] PRMS create-read-update-delete 
data.NewZealand.Other,Data access to country NewZealand (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.NewZealand.Planning,Data access to country NewZealand (full access).  Dataflow Tool Support (country planners),[DATA] PRMS full access
data.NewZealand.Reserves,Data access to country NewZealand (Reserves),[DATA] PRMS create-read-update-delete 
data.Norway,Data access to country Norway,[DATA] PRMS read-update
data.Norway.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Norway.Economics,Data access to country Norway (economist),[DATA] PRMS create-read-update-delete 
data.Norway.Finance,Data access to country Norway (financials),[DATA] PRMS create-read-update-delete 
data.Norway.Other,Data access to country Norway (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" Economics/Finance users"
data.Norway.Planning,Data access to country Norway (planner),[DATA] PRMS full access
data.Norway.Reserves,Data access to country Norway (Reserves),[DATA] PRMS create-read-update-delete 
data.OMVEP,Data access to ValueCenters,[DATA] PRMS read-update
data.OMVEP.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.OMVEP.Economics,Data access to ValueCenters (economist),[DATA] PRMS create-read-update-delete 
data.OMVEP.Finance,Data access to ValueCenters (financials),[DATA] PRMS create-read-update-delete 
data.OMVEP.Other,Data access to ValueCenters (Other functions or light Economics/Finance users),"This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for ""light"" functional users"
data.OMVEP.Planning,Data access to ValueCenters (full access),[DATA] PRMS full access
data.OMVEP.Reserves,Data access to ValueCenters (Reserves),[DATA] PRMS create-read-update-delete 
data.Romania,Data access to country Romania,[DATA] PRMS read-update
data.Romania.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
data.Romania.Economics,Data access to country Romania (economist),[DATA] PRMS create-read-update-delete 
data.Romania.Finance,Data access to country Romania (financials),[DATA] PRMS create-read-update-delete 
